City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Sola,VU,81.12,clear sky,-13.8833,167.55,Leumerus Bungalows
10,Faanui,PF,78.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Busselton,AU,75.04,overcast clouds,-33.65,115.3333,Observatory Guest House
16,Hilo,US,81.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
20,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
26,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
32,Butaritari,KI,81.21,broken clouds,3.0707,172.7902,Isles Sunset Lodge
33,Atuona,PF,78.13,few clouds,-9.8,-139.0333,Villa Enata
45,Tautira,PF,80.62,moderate rain,-17.7333,-149.15,Pension Oaoa
57,Wewak,PG,85.28,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
60,Oriximina,BR,76.87,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
61,Awbari,LY,78.53,few clouds,26.5921,12.7805,فندق أوباري
77,Kupang,ID,86.58,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
79,Canchungo,GW,78.67,light rain,12.0672,-16.0333,Aparthotel Napalach
81,Banda Aceh,ID,81.37,overcast clouds,5.5577,95.3222,Sulthan Hotel International
86,Tabou,CI,76.95,broken clouds,4.423,-7.3528,hotêl doufoulougou
87,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
89,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
92,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
93,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Scoop Guest House
99,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
103,Aguas Buenas,PR,79.63,clear sky,18.2569,-66.1029,Caguitas centro
108,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
110,Caravelas,BR,75.43,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
112,Phan Thiet,VN,82.35,overcast clouds,10.9333,108.1,Hotel Saigon-PT
113,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
120,Tomatlan,MX,76.17,overcast clouds,19.9333,-105.25,El Salvial
121,Mana,GF,77.52,overcast clouds,5.6592,-53.7767,LE SAMANA
128,Mabay,PH,85.05,broken clouds,6.0577,124.4666,Bautista Lodging House
130,Itarema,BR,79.79,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
138,Sao Filipe,CV,78.75,clear sky,14.8961,-24.4956,Hotel Xaguate
146,Taoudenni,ML,81.01,clear sky,22.6783,-3.9836,
148,Trincomalee,LK,78.78,overcast clouds,8.5711,81.2335,Welcombe Hotel
155,Gushikawa,JP,77.0,few clouds,26.3544,127.8686,Kirari Guest House
158,Namatanai,PG,84.78,light rain,-3.6667,152.4333,Seagulls Inn Namatani
160,Miramar,US,82.42,few clouds,25.9873,-80.2323,Miramar
162,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
183,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
185,Alice Springs,AU,78.35,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
202,Saint-Louis,SN,85.66,broken clouds,16.3333,-15.0,
204,Champerico,GT,84.34,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
206,Ouallam,NE,82.85,broken clouds,14.3188,2.0866,
211,Auki,SB,86.13,scattered clouds,-8.7676,160.7034,Auki Motel
213,Anloga,GH,79.05,moderate rain,5.7947,0.8973,Pin Drop Hotel
214,San Patricio,US,78.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
220,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
221,Sur,OM,79.9,clear sky,22.5667,59.5289,Sur Plaza Hotel
225,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
228,Pailon,BO,86.9,overcast clouds,-17.65,-62.75,Alojamiento pailon
229,Vanimo,PG,84.94,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
231,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
233,Manggar,ID,85.08,broken clouds,-2.8833,108.2667,Guest Hotel
236,Acarau,BR,79.66,overcast clouds,-2.8856,-40.12,castelo pizzaria
238,Airai,TL,79.95,scattered clouds,-8.9266,125.4092,Juvinal Martin
240,Sinazongwe,ZM,81.37,broken clouds,-17.2614,27.4618,Lakeview Lodge
245,Dingle,PH,84.4,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
246,Coahuayana,MX,83.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
252,Celestun,MX,79.14,broken clouds,20.8667,-90.4,Posada Lilia
258,Bosaso,SO,76.48,broken clouds,11.2842,49.1816,Red Sea Hotel
261,Meulaboh,ID,81.09,broken clouds,4.1363,96.1285,Kost Pria
262,Abu Dhabi,AE,80.71,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
