City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,74.25,72,78,11.95,broken clouds
1,Sitka,US,57.0531,-135.33,48.09,66,90,11.5,moderate rain
2,Sola,VU,-13.8833,167.55,81.12,76,10,16.11,clear sky
3,Komsomolskiy,UZ,40.4272,71.7189,38.12,70,0,6.91,clear sky
4,Albany,US,42.6001,-73.9662,47.57,77,83,1.01,broken clouds
5,Jamestown,US,42.097,-79.2353,44.29,95,75,1.99,broken clouds
6,Medeiros Neto,BR,-17.3739,-40.2206,69.82,94,9,4.32,clear sky
7,Klyuchi,RU,52.2667,79.1667,44.65,69,56,15.88,broken clouds
8,Ushuaia,AR,-54.8,-68.3,33.46,86,75,12.66,light snow
9,Puerto Ayora,EC,-0.7393,-90.3518,69.08,89,85,7.94,overcast clouds
10,Faanui,PF,-16.4833,-151.75,78.12,81,74,13.49,light rain
11,Kodiak,US,57.79,-152.4072,43.34,84,97,24.2,light rain
12,Busselton,AU,-33.65,115.3333,75.04,58,99,6.35,overcast clouds
13,Bluff,NZ,-46.6,168.3333,52.77,92,100,4.76,light rain
14,Nikolskoye,RU,59.7035,30.7861,34.39,89,75,8.99,broken clouds
15,Longyearbyen,SJ,78.2186,15.6401,15.64,86,0,6.91,clear sky
16,Hilo,US,19.7297,-155.09,81.28,70,20,8.05,few clouds
17,New Norfolk,AU,-42.7826,147.0587,56.66,53,100,3.0,light rain
18,East London,ZA,-33.0153,27.9116,59.05,66,16,16.62,few clouds
19,Husavik,IS,66.0449,-17.3389,39.78,96,100,4.88,overcast clouds
20,Kapaa,US,22.0752,-159.319,84.18,77,40,3.0,scattered clouds
21,Yabelo,ET,4.8833,38.0833,58.53,80,32,5.26,scattered clouds
22,Vaini,TO,-21.2,-175.2,78.96,73,20,9.22,few clouds
23,Haverhill,US,42.7762,-71.0773,50.92,73,1,1.99,clear sky
24,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,7.58,snow
25,Dickinson,US,29.4608,-95.0513,72.03,89,75,8.99,moderate rain
26,Avarua,CK,-21.2078,-159.775,75.25,53,90,8.05,overcast clouds
27,Abu Samrah,SY,35.3029,37.1841,61.99,68,0,4.56,clear sky
28,Iskateley,RU,67.6803,53.1512,25.11,90,74,7.78,broken clouds
29,Bethel,US,41.3712,-73.414,54.19,80,90,0.0,overcast clouds
30,Yankton,US,42.8711,-97.3973,51.12,57,90,10.36,overcast clouds
31,Tura,IN,25.5198,90.2201,72.28,71,25,1.34,scattered clouds
32,Butaritari,KI,3.0707,172.7902,81.21,72,51,7.23,broken clouds
33,Atuona,PF,-9.8,-139.0333,78.13,78,15,18.1,few clouds
34,Nur,PL,52.6683,22.3221,41.63,74,100,9.91,overcast clouds
35,Dalbandin,PK,28.8947,64.4101,53.87,18,0,5.39,clear sky
36,Oktyabrskiy,RU,54.4815,53.471,42.76,95,100,1.52,light rain
37,Peniche,PT,39.3558,-9.3811,63.63,90,0,7.83,clear sky
38,Ponta Do Sol,PT,32.6667,-17.1,70.43,63,15,5.95,few clouds
